dataset_version,image_id,image_path,image_filename,archive_member_name,sequence,candidate_metadata_id,role,opera,raw_face_type,mapping_status,mapping_evidence,label_status,image_read_status,image_file_format,image_width,image_height,image_file_size_bytes,image_sha256,sha256_group_size,duplicate_sha256_within_272,metadata_image_format,metadata_image_width,metadata_image_height,paper_mentioned_model_category,modern_v1_included,modern_v1_exclusion_reason,split,split_seed,notes
modern_v1,001,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-001-s.jpg,opera-01-001-s.jpg,爬虫脸谱图集/opera-01-001-s.jpg,1,001,郑伦,青龙关,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15760,0aba39c201b6a13aea2e0f6b68de43766d837cf159ec05ccc4beabada9f28688,1,no,jpg,287,350,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,002,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-002-s.jpg,opera-01-002-s.jpg,爬虫脸谱图集/opera-01-002-s.jpg,2,002,后羿,嫦娥奔月,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,149,15965,ffd50db0e3b16f62676a68dc92cf83d5972ba8a6d33d1c46d793c5f23ca522a5,1,no,jpg,328,400,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,003,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-003-s.jpg,opera-01-003-s.jpg,爬虫脸谱图集/opera-01-003-s.jpg,3,003,陈奇,青龙关,碎脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,16354,2f9ec11b4b27ae0dee684efcdc9564902db3f2c8084d131ef5128e030a881526,1,no,jpg,328,400,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,004,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-004-s.jpg,opera-01-004-s.jpg,爬虫脸谱图集/opera-01-004-s.jpg,4,004,土行孙,攻潼关,象形脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15605,04122e3ac9866f6b102521e8e70924b30c2ca04178dcf1109b5dc4968956d1a7,1,no,jpg,409,499,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,005,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-005-s.jpg,opera-01-005-s.jpg,爬虫脸谱图集/opera-01-005-s.jpg,5,005,闻仲,大回朝,六分脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,13554,06141b6b3e618fe193fb93c27d2e92217ffd6c59af4e7ec725c60ea20f250359,1,no,jpg,412,502,not_evaluated,yes,,validation,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,006,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-006-s.jpg,opera-01-006-s.jpg,爬虫脸谱图集/opera-01-006-s.jpg,6,006,姜尚,渭水河,整脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14991,f7312d54a9efb72a540c635ea0b6197523591e980c3b44f05ff980d6a91d7299,1,no,jpg,412,502,not_evaluated,yes,,test,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,007,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-007-s.jpg,opera-01-007-s.jpg,爬虫脸谱图集/opera-01-007-s.jpg,7,007,崇侯虎,进妲己,花三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15775,138f5af12c7630c12ea5a7d91b4f4a8d8e78b0bf38ee29b498953b83b39cff61,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,008,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-008-s.jpg,opera-01-008-s.jpg,爬虫脸谱图集/opera-01-008-s.jpg,8,008,崇黑虎,进妲己,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14490,952f468618f4d6f48fb2ecbeed041cf8a7247c9624de184b1b9c833487a2407f,1,no,jpg,412,502,not_evaluated,yes,,validation,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,009,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-009-s.jpg,opera-01-009-s.jpg,爬虫脸谱图集/opera-01-009-s.jpg,9,009,姬僚,鱼肠剑,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14354,177b63d7f2dc5e639991fd489bcff69f297adf1f8a2b1ffcf304170951636c9a,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
modern_v1,010,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-010-s.jpg,opera-01-010-s.jpg,爬虫脸谱图集/opera-01-010-s.jpg,10,010,米南凹,文昭关,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14033,9c03d7634718bdcc92f64cfd6cb39e26afbe64f1e323677e9ec682ee797b8c70,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.
