dataset_version,image_id,image_path,image_filename,archive_member_name,sequence,candidate_metadata_id,role,opera,raw_face_type,mapping_status,mapping_evidence,label_status,image_read_status,image_file_format,image_width,image_height,image_file_size_bytes,image_sha256,sha256_group_size,duplicate_sha256_within_272,metadata_image_format,metadata_image_width,metadata_image_height,paper_mentioned_model_category,modern_v1_included,modern_v1_exclusion_reason,split,split_seed,notes,metadata_raw__metadata_id,metadata_raw__source_row_number,metadata_raw__序号,metadata_raw__标识号,metadata_raw__角色,metadata_raw__角色别名,metadata_raw__角色类型,metadata_raw__一级行当,metadata_raw__二级行当,metadata_raw__来源剧目,metadata_raw__来源剧目别名,metadata_raw__来源剧目出处,metadata_raw__表演者,metadata_raw__语种,metadata_raw__关联角色,metadata_raw__谱式,metadata_raw__绘法,metadata_raw__图案,metadata_raw__主色,metadata_raw__主色寓意,metadata_raw__眉形,metadata_raw__眼型,metadata_raw__额头型,metadata_raw__鼻型,metadata_raw__嘴型,metadata_raw__绘法说明,metadata_raw__性格特征,metadata_raw__历史演变,metadata_raw__图像格式,metadata_raw__图像宽度,metadata_raw__图像高度,metadata_raw__图像大小,metadata_raw__图像水平分辨率,metadata_raw__图像垂直分辨率,metadata_raw__图像位深度,metadata_raw__图像创建日期,metadata_raw__角色简介,metadata_raw__来源剧目简介,metadata_raw__表演者简介,metadata_raw__流派,metadata_raw__参考资料
modern_v1,001,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-001-s.jpg,opera-01-001-s.jpg,爬虫脸谱图集/opera-01-001-s.jpg,1,001,郑伦,青龙关,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15760,0aba39c201b6a13aea2e0f6b68de43766d837cf159ec05ccc4beabada9f28688,1,no,jpg,287,350,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,001,2,1,,郑伦,,神怪类,净,武净,青龙关,,封神演义,通用,中文,陈奇,三块瓦脸,勾脸,,绿色,,,,蝙蝠形,哭鼻窝,虎嘴,,,,jpg,287,350,34,96,96,24,2020.1.5,,,,,
modern_v1,002,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-002-s.jpg,opera-01-002-s.jpg,爬虫脸谱图集/opera-01-002-s.jpg,2,002,后羿,嫦娥奔月,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,149,15965,ffd50db0e3b16f62676a68dc92cf83d5972ba8a6d33d1c46d793c5f23ca522a5,1,no,jpg,328,400,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,002,3,2,,后羿,,神怪类,净,武净,嫦娥奔月,,淮南子,李寿山,中文,玉兔,三块瓦脸,勾脸,,红色,,刀眉,直眼窝,点形,卷鼻窝,,,,,jpg,328,400,39,96,96,24,2020.1.5,,,李寿山（1866年04月21日-1932年10月07日），京剧净角。名镜林，字仲华，小名七儿。因其身材高大，人称大李七。出身于三庆班，与武净钱金福为师兄弟。初工花旦、昆旦，又改老生，后归武净兼架子花，文武皆能昆乱不挡。1900年，与朱文英同被选入升平署，进宫承差艺名李七儿。1906年应富连成之聘，入社执教。早年曾搭长春班，晚年在梅兰芳京剧团。,,
modern_v1,003,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-003-s.jpg,opera-01-003-s.jpg,爬虫脸谱图集/opera-01-003-s.jpg,3,003,陈奇,青龙关,碎脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,16354,2f9ec11b4b27ae0dee684efcdc9564902db3f2c8084d131ef5128e030a881526,1,no,jpg,328,400,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,003,4,3,,陈奇,,神怪类,净,副净,青龙关,,封神演义,通用,中文,郑伦,碎脸,勾脸,,红色,,,,如意钩形,碎鼻窝,火盆嘴,,,,jpg,328,400,40.6,96,96,24,2020.1.5,,,,,
modern_v1,004,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-004-s.jpg,opera-01-004-s.jpg,爬虫脸谱图集/opera-01-004-s.jpg,4,004,土行孙,攻潼关,象形脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15605,04122e3ac9866f6b102521e8e70924b30c2ca04178dcf1109b5dc4968956d1a7,1,no,jpg,409,499,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,004,5,4,,土行孙,,神怪类,净,武净,攻潼关,氤氲阵,封神演义,通用,中文,姜尚,象形脸,勾脸,,黄色,,,,,碎鼻窝,虎嘴,,,,jpg,409,499,46,96,96,24,2020.1.5,,,,,
modern_v1,005,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-005-s.jpg,opera-01-005-s.jpg,爬虫脸谱图集/opera-01-005-s.jpg,5,005,闻仲,大回朝,六分脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,13554,06141b6b3e618fe193fb93c27d2e92217ffd6c59af4e7ec725c60ea20f250359,1,no,jpg,412,502,not_evaluated,yes,,validation,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,005,6,5,,闻仲,闻太师,将官类,净,正净,大回朝,太师回朝,封神演义,裘桂仙,中文,纣王,六分脸,勾脸,,红色,,点眉,,眼形,白鼻窝,,,,,jpg,412,502,28.1,96,96,24,2020.1.5,,,,,
modern_v1,006,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-006-s.jpg,opera-01-006-s.jpg,爬虫脸谱图集/opera-01-006-s.jpg,6,006,姜尚,渭水河,整脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14991,f7312d54a9efb72a540c635ea0b6197523591e980c3b44f05ff980d6a91d7299,1,no,jpg,412,502,not_evaluated,yes,,test,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,006,7,6,,姜尚,姜子牙、姜太公,将官类,净,副净,渭水河,文王访贤、八百八年,史记·齐太公世家,郝寿臣,中文,姬昌,整脸,揉脸,,红色,,老眉,,点形,灰鼻窝,,,,,jpg,412,502,38.4,96,96,24,2020.1.5,,,郝寿臣（1886年-1961年），著名京剧表演艺术家、教育家，工架子花脸。原籍河北香河，幼年随父迁京，从师吕福善、唐永常、朱子久、阎宝恒等学艺。郝寿臣融金秀山铜锤与黄润甫架子两家艺术于一炉，唱念上自成一格，创成被誉为“架子花脸铜锤唱”的郝派艺术。他以气魄取胜，唱念韵味浑厚，工架凝练，表演浑然一体。他艺术态度严谨，善于刻画人物，数十年艺术生涯中，在220余个剧目中扮演过160多个主要和次要角色。与侯喜瑞、金少山并称“净行三杰”。,,
modern_v1,007,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-007-s.jpg,opera-01-007-s.jpg,爬虫脸谱图集/opera-01-007-s.jpg,7,007,崇侯虎,进妲己,花三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,15775,138f5af12c7630c12ea5a7d91b4f4a8d8e78b0bf38ee29b498953b83b39cff61,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,007,8,7,,崇侯虎,,将官类,净,武净,进妲己,反冀州、献妲己,封神演义,通用,中文,崇黑虎,花三块瓦脸,勾脸,,白色,,,大奸眼窝,随意形,尖鼻窝,,,,,jpg,412,502,37.2,96,96,24,2020.1.5,,,,,
modern_v1,008,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-008-s.jpg,opera-01-008-s.jpg,爬虫脸谱图集/opera-01-008-s.jpg,8,008,崇黑虎,进妲己,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14490,952f468618f4d6f48fb2ecbeed041cf8a7247c9624de184b1b9c833487a2407f,1,no,jpg,412,502,not_evaluated,yes,,validation,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,008,9,8,,崇黑虎,,将官类,净,武净,进妲己,反冀州、献妲己,封神演义,通用,中文,崇侯虎,三块瓦脸,勾脸,,粉红色,,,老眼窝,随意形,卷鼻窝,,,,,jpg,412,502,31.3,96,96,24,2020.1.5,,,,,
modern_v1,009,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-009-s.jpg,opera-01-009-s.jpg,爬虫脸谱图集/opera-01-009-s.jpg,9,009,姬僚,鱼肠剑,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14354,177b63d7f2dc5e639991fd489bcff69f297adf1f8a2b1ffcf304170951636c9a,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,009,10,9,,姬僚,,将官类,净,正净,鱼肠剑,鱼藏剑,东周列国志,金少山,中文,专诸,三块瓦脸,勾脸,,黄色,,奸眉,老眼窝,随意形,圆鼻窝,,,,,jpg,412,502,29.5,96,96,24,2020.1.5,,,金少山（1890年-1948年8月13日），一说作仲义，又名少山。满族，北京人，京剧净行演员，京剧名净金秀山三子。幼年从父学艺，工铜锤花脸，兼宗何桂山。同时，他从韩乐卿习练武功把子，后拜德珺如为师学架子花脸戏。由于金少山学艺众多，天赋优厚，声音洪亮，在方方面面皆都具备，其艺术风格已经不仅限于父亲金秀山的“金派”范围。他通过发挥自身条件，将净角艺术提高到一个新的高度，形成了自己的流派“新金派”。,,
modern_v1,010,data/raw/脸谱/整理工作/爬虫脸谱图集.zip::爬虫脸谱图集/opera-01-010-s.jpg,opera-01-010-s.jpg,爬虫脸谱图集/opera-01-010-s.jpg,10,010,米南凹,文昭关,三块瓦脸,user_confirmed_sequence_mapping,Project owner confirmed on 2026-09-20 that Excel 序号 and the image filename number are one-to-one for the current POPF dataset.,present,readable,JPEG,123,150,14033,9c03d7634718bdcc92f64cfd6cb39e26afbe64f1e323677e9ec682ee797b8c70,1,no,jpg,412,502,not_evaluated,yes,,train,42,Sequence mapping is accepted for the current project dataset based on project-owner confirmation. Label analysis uses the current XLS raw 谱式 values.,010,11,10,,米南凹,米南适,将官类,净,武净,文昭关,一夜白须,东周列国志,通用,中文,伍子胥,三块瓦脸,勾脸,,黑色、白色,,随意眉,奸眼窝,,尖鼻窝,,,,,jpg,412,502,34.8,96,96,24,2020.1.5,,,,,
