image_id,image_filename,metadata_id,role,opera,original_face_type,sequence_candidate_metadata_id,candidate_role,candidate_opera,candidate_original_face_type,match_method,match_confidence,match_status,evidence,image_width,image_height,metadata_width,metadata_height,dimension_match,image_aspect_ratio,metadata_aspect_ratio,aspect_ratio_delta,aspect_ratio_match,image_sha256
001,opera-01-001-s.jpg,unknown,,,,001,郑伦,青龙关,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=287x350; aspect_ratio_delta=0.0; network-expanded same hash=yes.",123,150,287,350,no,0.82,0.82,0.0,yes_within_0.01,0aba39c201b6a13aea2e0f6b68de43766d837cf159ec05ccc4beabada9f28688
002,opera-01-002-s.jpg,unknown,,,,002,后羿,嫦娥奔月,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x149; XLS field=328x400; aspect_ratio_delta=0.005503360000000068; network-expanded same hash=yes.",123,149,328,400,no,0.82550336,0.82,0.005503360000000068,yes_within_0.01,ffd50db0e3b16f62676a68dc92cf83d5972ba8a6d33d1c46d793c5f23ca522a5
003,opera-01-003-s.jpg,unknown,,,,003,陈奇,青龙关,碎脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=328x400; aspect_ratio_delta=0.0; network-expanded same hash=yes.",123,150,328,400,no,0.82,0.82,0.0,yes_within_0.01,2f9ec11b4b27ae0dee684efcdc9564902db3f2c8084d131ef5128e030a881526
004,opera-01-004-s.jpg,unknown,,,,004,土行孙,攻潼关,象形脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=409x499; aspect_ratio_delta=0.00036072144288568087; network-expanded same hash=yes.",123,150,409,499,no,0.82,0.8196392785571143,0.00036072144288568087,yes_within_0.01,04122e3ac9866f6b102521e8e70924b30c2ca04178dcf1109b5dc4968956d1a7
005,opera-01-005-s.jpg,unknown,,,,005,闻仲,大回朝,六分脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,06141b6b3e618fe193fb93c27d2e92217ffd6c59af4e7ec725c60ea20f250359
006,opera-01-006-s.jpg,unknown,,,,006,姜尚,渭水河,整脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,f7312d54a9efb72a540c635ea0b6197523591e980c3b44f05ff980d6a91d7299
007,opera-01-007-s.jpg,unknown,,,,007,崇侯虎,进妲己,花三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,138f5af12c7630c12ea5a7d91b4f4a8d8e78b0bf38ee29b498953b83b39cff61
008,opera-01-008-s.jpg,unknown,,,,008,崇黑虎,进妲己,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,952f468618f4d6f48fb2ecbeed041cf8a7247c9624de184b1b9c833487a2407f
009,opera-01-009-s.jpg,unknown,,,,009,姬僚,鱼肠剑,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,177b63d7f2dc5e639991fd489bcff69f297adf1f8a2b1ffcf304170951636c9a
010,opera-01-010-s.jpg,unknown,,,,010,米南凹,文昭关,三块瓦脸,sequence_and_aspect_ratio_candidate_not_accepted,low,unknown,"Archive filename suffix 001-272 forms a bijection with XLS 序号 1-272, so a sequence-only candidate can be listed. However, the filename contains no role or opera text, the exact pixel dimensions differ from the XLS image width/height fields, and this does not prove historical identity. The aspect ratios are broadly compatible with a thumbnail/downsample relationship, which is supporting evidence only. Observed image=123x150; XLS field=412x502; aspect_ratio_delta=0.0007171314741036827; network-expanded same hash=yes.",123,150,412,502,no,0.82,0.8207171314741036,0.0007171314741036827,yes_within_0.01,9c03d7634718bdcc92f64cfd6cb39e26afbe64f1e323677e9ec682ee797b8c70
