entity_type,image_id,image_filename,candidate_metadata_id_by_sequence,candidate_role,candidate_opera,candidate_original_face_type,match_status,reason
image,001,opera-01-001-s.jpg,001,郑伦,青龙关,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,002,opera-01-002-s.jpg,002,后羿,嫦娥奔月,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,003,opera-01-003-s.jpg,003,陈奇,青龙关,碎脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,004,opera-01-004-s.jpg,004,土行孙,攻潼关,象形脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,005,opera-01-005-s.jpg,005,闻仲,大回朝,六分脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,006,opera-01-006-s.jpg,006,姜尚,渭水河,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,007,opera-01-007-s.jpg,007,崇侯虎,进妲己,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,008,opera-01-008-s.jpg,008,崇黑虎,进妲己,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,009,opera-01-009-s.jpg,009,姬僚,鱼肠剑,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,010,opera-01-010-s.jpg,010,米南凹,文昭关,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,011,opera-01-011-s.jpg,011,李刚,庆阳图,十字门脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,012,opera-01-012-s.jpg,012,廉颇,将相和,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,013,opera-02-013-s.jpg,013,伊立,黄金台,太监脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,014,opera-02-014-s.jpg,014,胡伤,将相和,花三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,015,opera-02-015-s.jpg,015,荆轲,荆轲传,三块瓦脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
image,016,opera-02-016-s.jpg,016,赵高,宇宙锋,整脸,unknown,"No independent role/opera/image-identity evidence proves this archive member is the XLS row. Sequence-only pairing is retained as a candidate, not accepted as a match."
